Scan ID,Scan Timestamp,Location,Checkin Date,Checkout Date,Guest Count,Data Source,User Preference,My Price (EUR),Competitor Median (EUR),Competitor 10th Percentile (EUR),Pricing Status,Recommendation,Confidence Score,Confidence Reason
365,2026-06-30 23:29:46,Greencastle,2026-07-15,2026-07-17,4,live,occupancy,582.4,432.0,303.2,Too High,"Harbour Bar Apartment was not found in the search results for this 2-night stay. Likely reason: The listing is already booked, blocked by host controls, or restricted for this specific date range. Competitor data was successfully collected: Typical market price (median) is €432.00 total stay (nightly equivalent: €216.00). If your listing were active, our recommended baseline rate would be €582.40 total (nightly equivalent: €291.20).",100,"Using fresh, live Booking.com scraper data. Found 25 comparable listings."
364,2026-06-30 23:28:25,Greencastle,2020-05-10,2020-05-12,4,seed,occupancy,368.48,318.39,304.63,Too High,"Your total price for this 2-night stay is €368.48 (nightly equivalent: €184.24), which is overpriced compared to competitors. Recommend lowering your rate by €55.09 to align closer to your custom top 50% threshold (€318.39 total / €159.19 nightly) of the market.",40,Using fallback synthetic market data due to Booking.com rate limits.
363,2026-06-30 23:19:40,Greencastle,2026-07-08,2026-07-10,6,live,occupancy,370.0,645.0,338.7,Healthy,Your total price for this 2-night stay is €370.00 (nightly equivalent: €185.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
362,2026-06-30 23:19:32,Greencastle,2026-07-08,2026-07-10,4,live,occupancy,330.0,369.0,291.2,Healthy,Your total price for this 2-night stay is €330.00 (nightly equivalent: €165.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
361,2026-06-30 23:19:24,Greencastle,2026-07-08,2026-07-10,2,live,occupancy,290.0,372.0,274.4,Healthy,Your total price for this 2-night stay is €290.00 (nightly equivalent: €145.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
360,2026-06-30 23:18:01,Greencastle,2026-07-09,2026-07-11,6,live,occupancy,712.4,577.0,336.8,Too High,"Harbour Bar Apartment was not found in the search results for this 2-night stay. Likely reason: The listing is already booked, blocked by host controls, or restricted for this specific date range. Competitor data was successfully collected: Typical market price (median) is €577.00 total stay (nightly equivalent: €288.50). If your listing were active, our recommended baseline rate would be €712.40 total (nightly equivalent: €356.20).",100,"Using fresh, live Booking.com scraper data. Found 13 comparable listings."
359,2026-06-30 23:17:54,Greencastle,2026-07-09,2026-07-11,4,live,occupancy,582.4,389.0,295.2,Too High,"Harbour Bar Apartment was not found in the search results for this 2-night stay. Likely reason: The listing is already booked, blocked by host controls, or restricted for this specific date range. Competitor data was successfully collected: Typical market price (median) is €389.00 total stay (nightly equivalent: €194.50). If your listing were active, our recommended baseline rate would be €582.40 total (nightly equivalent: €291.20).",100,"Using fresh, live Booking.com scraper data. Found 25 comparable listings."
358,2026-06-30 23:17:46,Greencastle,2026-07-09,2026-07-11,2,live,occupancy,452.4,340.0,258.8,Too High,"Harbour Bar Apartment was not found in the search results for this 2-night stay. Likely reason: The listing is already booked, blocked by host controls, or restricted for this specific date range. Competitor data was successfully collected: Typical market price (median) is €340.00 total stay (nightly equivalent: €170.00). If your listing were active, our recommended baseline rate would be €452.40 total (nightly equivalent: €226.20).",100,"Using fresh, live Booking.com scraper data. Found 25 comparable listings."
357,2026-06-30 21:48:57,Greencastle,2026-07-08,2026-07-10,6,live,occupancy,370.0,645.0,338.7,Healthy,Your total price for this 2-night stay is €370.00 (nightly equivalent: €185.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
356,2026-06-30 21:48:49,Greencastle,2026-07-08,2026-07-10,4,live,occupancy,330.0,384.5,291.2,Healthy,Your total price for this 2-night stay is €330.00 (nightly equivalent: €165.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
355,2026-06-30 21:48:41,Greencastle,2026-07-08,2026-07-10,2,live,occupancy,290.0,372.0,274.4,Healthy,Your total price for this 2-night stay is €290.00 (nightly equivalent: €145.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
354,2026-06-30 21:46:47,Greencastle,2026-07-07,2026-07-09,6,live,occupancy,370.0,670.0,337.2,Healthy,Your total price for this 2-night stay is €370.00 (nightly equivalent: €185.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 23 comparable listings."
353,2026-06-30 21:46:39,Greencastle,2026-07-07,2026-07-09,4,live,occupancy,330.0,394.5,315.5,Healthy,Your total price for this 2-night stay is €330.00 (nightly equivalent: €165.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
352,2026-06-30 21:46:31,Greencastle,2026-07-07,2026-07-09,2,live,occupancy,290.0,363.5,284.2,Healthy,Your total price for this 2-night stay is €290.00 (nightly equivalent: €145.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
351,2026-06-30 21:40:47,Greencastle,2026-07-08,2026-07-10,6,live,occupancy,370.0,645.0,338.7,Healthy,Your total price for this 2-night stay is €370.00 (nightly equivalent: €185.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
350,2026-06-30 21:40:39,Greencastle,2026-07-08,2026-07-10,4,live,occupancy,330.0,385.5,291.2,Healthy,Your total price for this 2-night stay is €330.00 (nightly equivalent: €165.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
349,2026-06-30 21:40:31,Greencastle,2026-07-08,2026-07-10,2,live,occupancy,290.0,372.0,276.5,Healthy,Your total price for this 2-night stay is €290.00 (nightly equivalent: €145.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
348,2026-06-29 23:41:06,Greencastle,2026-07-13,2026-07-15,6,live,occupancy,400.0,543.0,318.0,Healthy,Your total price for this 2-night stay is €400.00 (nightly equivalent: €200.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 15 comparable listings."
347,2026-06-29 23:40:59,Greencastle,2026-07-13,2026-07-15,4,live,occupancy,360.0,429.5,294.9,Healthy,Your total price for this 2-night stay is €360.00 (nightly equivalent: €180.00). This rate is healthy and competitive with local market rates.,100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
346,2026-06-29 23:40:51,Greencastle,2026-07-13,2026-07-15,2,live,occupancy,320.0,304.5,263.0,Too High,"Your total price for this 2-night stay is €320.00 (nightly equivalent: €160.00), which is overpriced compared to competitors. Recommend lowering your rate by €20.50 to align closer to your custom top 50% threshold (€304.50 total / €152.25 nightly) of the market.",100,"Using fresh, live Booking.com scraper data. Found 24 comparable listings."
